grade,subject,approvalNumber,title,type,author,publisher,barcode
א,חינוך מוזיקלי,2652,הכול בקול,חוברת לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,41628
א,חינוך מוזיקלי,2743,חגיגה בצלילים,חוברת לימוד,ש. גולדשטיין,ארט הוצאה לאור,81727
א,חינוך מוזיקלי,2745,חליליות לכיתות בית הספר  חלק א,חוברת לימוד,ש. גולדשטיין,ארט הוצאה לאור,81726
א,חינוך מוזיקלי,2745,חליליות לכיתות בית הספר  חלק ב,חוברת לימוד,ש. גולדשטיין,ארט הוצאה לאור,818112
א,חינוך מוזיקלי,2745,חליליות לכיתות בית הספר  חלק ג,חוברת לימוד,ש. גולדשטיין,ארט הוצאה לאור,818312
א,חינוך מוזיקלי,2653,פטר והזאב,חוברת לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416211
א,חינוך מוזיקלי,2787,צליל וצבע,חוברת לימוד,ש. גולדשטיין,ארט הוצאה לאור,8171129
א,חינוך מוזיקלי,2824,"צליל וקשת, ויולה",חוברת לימוד,"ת. אורדו, ע. גור, ל. לבנון",קהילה מנגנת,146577121
א,חינוך מוזיקלי,2824,"צליל וקשת, כינור",חוברת לימוד,"ת. אורדו, ע. גור, ל. לבנון",קהילה מנגנת,87715
א,חינוך מוזיקלי,2824,"צליל וקשת, צ'לו",חוברת לימוד,"א. חן, ע. גור",קהילה מנגנת,87713
א,חינוך מוזיקלי,2487,צלילי המוסיקה 1,חוברת לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,4161851
א,חינוך מוזיקלי,2721,קסם החלילית,חוברת לימוד,ע. גור,קהילה מנגנת,87711
א,זהירות ובטיחות בדרכים,2475,הרכבת הקלה,חוברת לימוד,א. אמדו,א.מ. מעגל שיווק,8164
א,זהירות ובטיחות בדרכים,2435,חיוכים בדרכים  אופניים לשועל,חוברת עבודה,א. עצמוני,יבנה | בונוס,119724
א,זהירות ובטיחות בדרכים,2435,חיוכים בדרכים  האח לרמזור המוצלח,חוברת עבודה,א. עצמוני,יבנה | בונוס,119391
א,זהירות ובטיחות בדרכים,2435,חיוכים בדרכים  התמרור ששאג ולחש עצור,חוברת עבודה,א. עצמוני,יבנה | בונוס,119394
א,זהירות ובטיחות בדרכים,2435,חיוכים בדרכים  חגיגה בשחור לבן,חוברת עבודה,א. עצמוני,יבנה | בונוס,119397
א,זהירות ובטיחות בדרכים,2435,חיוכים בדרכים  מקראה,ספר לימוד,"א. עצמוני, נ. חרמון",יבנה | בונוס,119751
א,זהירות ובטיחות בדרכים,2785,סימני דרך,ספר לימוד,א. עצמוני,למור,12351
א,זהירות ובטיחות בדרכים,299,עלילות הולך רגל בממלכת דרך,ספר לימוד,"ט. אבן חן, ר. יחזקאל",לילך,13165
א,זהירות ובטיחות בדרכים,2822,בצעד ראשון,ספר לימוד,א. עצמוני,למור,12353
א,נושאים מיוחדים,9626,עניין לגדולים – מסע השתלבות בעולם הגדולים,ספר לימוד,המינהל הפדגוגי,מטח,78112221
א,מדע וטכנולוגיה,2934,"מעשה בראשית, החושים שלנו",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,245112
א,מדע וטכנולוגיה,2934,"מעשה בראשית, להיות בריאים",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,245122
א,מדע וטכנולוגיה,2934,"מעשה בראשית, מעגל עונות השנה",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,245132
א,מדע וטכנולוגיה,2895,"א""ב של המדע לכיתה א, חלק ראשון",ספר לימוד,"ע. ברנע, ט. אמברחציר, ש. איזרדל, ג. סלומון",יבנה | בונוס,119111
א,מדע וטכנולוגיה,2895,"א""ב של המדע לכיתה א, חלק שני",ספר לימוד,"ע. ברנע, ט. אמברחציר, ש. איזרדל, ג. סלומון",יבנה | בונוס,119112
א,מדע וטכנולוגיה,2844,"במבט חדש, החושים שלנו",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,24112
א,מדע וטכנולוגיה,2844,"במבט חדש, להיות בריאים",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,24312
א,מדע וטכנולוגיה,2844,"במבט חדש, מעגל עונות השנה",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,24212
א,מדע וטכנולוגיה,2813,מדע בעידן טכנולוגי המחודש לכיתה א',ספר לימוד,"ג. ניב, ס. הבר, מ. ברק",יבנה | בונוס,119898
א,מדע וטכנולוגיה,2811,"מסע מדע א', חוקרים את עונות השנה",ספר לימוד,ש. קלצ'קו,כנרת  זמורה,112287
א,מדע וטכנולוגיה,286,"פלא טבע א', 1חושים",ספר לימוד,צוות מטח,מטח,782412
א,מדע וטכנולוגיה,286,"פלא טבע א', 2סביבה ",ספר לימוד,צוות מטח,מטח,7824121
א,מדע וטכנולוגיה,286,"פלא טבע א', 3צמחים",ספר לימוד,צוות מטח,מטח,7824122
א,מדע וטכנולוגיה,286,"פלא טבע א', 4בעלי חיים",ספר לימוד,צוות מטח,מטח,7824123
א,מדע וטכנולוגיה,286,"פלא טבע א', 5האדם",ספר לימוד,צוות מטח,מטח,7824124
א,מתמטיקה,2591,זמן חשבון כיתה א'  גאומטריה,ספר לימוד,"י. פכטר, א. סגל",יבנה | בונוס,4161778
א,מתמטיקה,2591,"זמן חשבון כיתה א'  מספרים ופעולות, חלק א'",ספר לימוד,"י. פכטר, א. סגל",יבנה | בונוס,4161774
א,מתמטיקה,2591,"זמן חשבון כיתה א'  מספרים ופעולות, חלק ב'",ספר לימוד,"י. פכטר, א. סגל",יבנה | בונוס,4161775
א,מתמטיקה,2591,"זמן חשבון כיתה א'  מספרים ופעולות, חלק ג'",ספר לימוד,"י. פכטר, א. סגל",יבנה | בונוס,4161776
א,מתמטיקה,2591,"זמן חשבון כיתה א'  מספרים ופעולות, חלק ד'",ספר לימוד,"י. פכטר, א. סגל",יבנה | בונוס,4161777
א,מתמטיקה,274,חשבון וחשיבה לכיתה א' ספר גאומטריה,ספר לימוד,"ר. שטיינברג, ב. זייבלד, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,421299
א,מתמטיקה,274,חשבון וחשיבה לכיתה א' ספר ראשון,ספר לימוד,"ר. שטיינברג, ב. זייבלד, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,421297
א,מתמטיקה,274,חשבון וחשיבה לכיתה א' ספר שני,ספר לימוד,"ר. שטיינברג, ב. זייבלד, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,421298
א,מתמטיקה,2594,"יש פתרון, לכיתה א', גאומטריה",ספר לימוד,א. פרץ,אושרה פרץ,352349
א,מתמטיקה,2594,"יש פתרון, לכיתה א', חלק א'",ספר לימוד,א. פרץ,אושרה פרץ,359176
א,מתמטיקה,2594,"יש פתרון, לכיתה א', חלק ב'",ספר לימוד,א. פרץ,אושרה פרץ,359177
א,מתמטיקה,2855,מאחורי המספרים 1  מהדורה מותאמת למגזר החרדי,ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13121
א,מתמטיקה,2855,מאחורי המספרים 2  מהדורה מותאמת למגזר החרדי,ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13122
א,מתמטיקה,2855,מאחורי המספרים 3  מהדורה מותאמת למגזר החרדי,ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13123
א,מתמטיקה,2855,"מאחורי המספרים, גאומטריה לכיתה א'  מהדורה מותאמת למגזר החרדי",ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13124
א,מתמטיקה,2855,"מאחורי המספרים, ערכת אביזרים",ערכת אביזרים,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13115
א,מתמטיקה,269,"מסלולים א', ערכת אביזרים  פרקי גאומטריה",ערכת אביזרים,צוות מטח,מטח,78277114
א,מתמטיקה,269,מסלולים פלוס א' חלק 1,ספר לימוד,צוות מטח,מטח,782761
א,מתמטיקה,269,מסלולים פלוס א' חלק 2,ספר לימוד,צוות מטח,מטח,7827611
א,מתמטיקה,269,מסלולים פלוס א' חלק 3,ספר לימוד,צוות מטח,מטח,7827612
א,מתמטיקה,269,"מסלולים פלוס א', ערכת אביזרים",ערכת אביזרים,צוות מטח,מטח,7827616
א,מתמטיקה,269,"מסלולים, גאומטריה לכיתה א'",ספר לימוד,צוות מטח,מטח,7827717
א,מתמטיקה,2574,"נחשוב חשבון א', חלק 1",ספר לימוד,"חינוך מתמטי בע""מ","אבסול בע""מ",119484
א,מתמטיקה,2574,"נחשוב חשבון א', חלק 2",ספר לימוד,"חינוך מתמטי בע""מ","אבסול בע""מ",119485
א,מתמטיקה,2574,"נחשוב חשבון א', חלק 3",ספר לימוד,"חינוך מתמטי בע""מ","אבסול בע""מ",119486
א,מתמטיקה,2758,פשוט ללמוד חשבון  גאומטריה לכיתה א'  ספר 4,ספר לימוד,"נ. אלפא, ר. אברמוביץ",חשבון פשוט,116663
א,מתמטיקה,2758,פשוט ללמוד חשבון לכיתה א'  ספר 1,ספר לימוד,"נ. אלפא, ר. אברמוביץ",חשבון פשוט,11666
א,מתמטיקה,2758,פשוט ללמוד חשבון לכיתה א'  ספר 2,ספר לימוד,"נ. אלפא, ר. אברמוביץ",חשבון פשוט,116661
א,מתמטיקה,2758,פשוט ללמוד חשבון לכיתה א'  ספר 3,ספר לימוד,"נ. אלפא, ר. אברמוביץ",חשבון פשוט,116662
א,מתמטיקה,2765,השבחה לכיתה א'  גאומטריה,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416239
א,מתמטיקה,2765,השבחה לכיתה א'  מספרים ופעולות 1,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416235
א,מתמטיקה,2765,השבחה לכיתה א'  מספרים ופעולות 2,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416236
א,מתמטיקה,2765,השבחה לכיתה א'  מספרים ופעולות 3,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416237
א,מתמטיקה,2765,השבחה לכיתה א'  מספרים ופעולות 4,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416238
א,מתמטיקה,2765,השבחה לכיתה א'  ערכת אביזרים ,ערכת אביזרים,המכון לקידום האינטגרציה,יבנה | בונוס,4161742
א,מתמטיקה,2231,"חשבון 1, אביזרים ",ערכת אביזרים, א. אררה,למדא,19911
א,מתמטיקה,2231,"חשבון 1, חלק א'",ספר לימוד,א. אררה,למדא,199528
א,מתמטיקה,2231,"חשבון 1, חלק ב'",ספר לימוד,א. אררה,למדא,199532
א,מתמטיקה,2231,"חשבון 1, חלק ג'",ספר לימוד,א. אררה,למדא,199533
א,מתמטיקה,2158,"כשרים והקשרים במתמטיקה, סרגל צורות ",ערכת אביזרים,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",11945
א,מתמטיקה,2158,"כשרים והקשרים במתמטיקה, תבנית ביצים ",ערכת אביזרים,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",119435
א,מתמטיקה,2158,"כשרים והקשרים, ספר 1",ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",11941
א,מתמטיקה,2158,"כשרים והקשרים, ספר 2",ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",11942
א,מתמטיקה,2158,"כשרים והקשרים, ספר 3",ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",11943
א,מתמטיקה,2821,מאחורי המספרים 1,ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13111
א,מתמטיקה,2821,מאחורי המספרים 2,ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13112
א,מתמטיקה,2821,מאחורי המספרים 3,ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13113
א,מתמטיקה,2821,"מאחורי המספרים, גאומטריה",ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13114
א,מתמטיקה,2855,"מאחורי המספרים, ערכת אביזרים",ערכת אביזרים,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13115
א,מתמטיקה,2727,פשוט אתגר א',ספר לימוד,נ. רוזבלום ש. הוכנר,כנרת  זמורה,4211617
א,מתמטיקה,2246,"פשוט חשבון א', אביזרים ",ערכת אביזרים," ר. שטינברג, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,421311
א,מתמטיקה,2246,"פשוט חשבון א', חלק 1",ספר לימוד,"ר. שטינברג, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,421818
א,מתמטיקה,2246,"פשוט חשבון א', חלק 2",ספר לימוד,"ר. שטינברג, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,421823
א,מתמטיקה,2246,"פשוט חשבון א', חלק 3",ספר לימוד,"ר. שטינברג, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,421824
א,מתמטיקה,2773,"פשוט לחשוב חשבון לכיתה א', גאומטריה",ספר לימוד,"ר. שטינברג, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,4212181
א,מתמטיקה,2773,"פשוט לחשוב חשבון לכיתה א', ספר 1",ספר לימוד,"ר. שטינברג, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,4212179
א,מתמטיקה,2773,"פשוט לחשוב חשבון לכיתה א', ספר 2",ספר לימוד,"ר. שטינברג, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,421218
א,מתמטיקה,2773,"פשוט לחשוב חשבון לכיתה א', ספר 3",ספר לימוד,"ר. שטינברג, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,421224
א,מתמטיקה,2773,"פשוט לחשוב חשבון לכיתה א', ערכת אביזרים ",ערכת אביזרים,"ר. שטינברג, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,421999248
א,מתמטיקה,2959,שבילים חדשים ספר 1,ספר לימוד,"צוות מט""ח","מט""ח",78266
א,מתמטיקה,2959,שבילים חדשים ספר 2,ספר לימוד,"צוות מט""ח","מט""ח",782661
א,מתמטיקה,2959,שבילים חדשים ספר 3,ספר לימוד,"צוות מט""ח","מט""ח",782662
א,מתמטיקה,2959,שבילים חדשים ספר 4,ספר לימוד,"צוות מט""ח","מט""ח",782663
א,מתמטיקה,2959,"שבילים חדשים, ערכת אביזרים",ערכת אביזרים,"צוות מט""ח","מט""ח",782665
א,מתמטיקה,2419,"שבילים פלוס א', גאומטריה",ספר לימוד,צוות מטח,מטח,7827168
א,מתמטיקה,2567,"שבילים פלוס, חלק 1",ספר לימוד,צוות מטח,מטח,782611
א,מתמטיקה,2567,"שבילים פלוס, חלק 2",ספר לימוד,צוות מטח,מטח,782612
א,מתמטיקה,2567,"שבילים פלוס, חלק 3",ספר לימוד,צוות מטח,מטח,782613
א,מתמטיקה,2567,"שבילים פלוס, ערכת אביזרים",ערכת אביזרים,צוות מטח,מטח,782616
א,מתמטיקה,2419,"שבילים, ערכת האביזרים  גאומטריה",ערכת אביזרים,צוות מטח,מטח,7827114
א,"תושב""ע",2951,הלכות בהירות כיתה א,חוברת ,צוות כתיבה,יבנה | בונוס,116124
א,"תושב""ע",253,"משניות בשת""ף  מסכת אבות",חוברת,א. פאלק,בית המלמדים,14211
א,"תושב""ע",252,"משניות בשת""ף  מסכת אבות עם כישורי חיים",חוברת,א. פאלק,בית המלמדים,14214
א,"תושב""ע",2533,משניות משמחות  מסכת אבות,חוברת,"ח. מלכה, מ. אילוז",מכון אורות ישראל,11636
א,"תושב""ע",2764,נרות להאיר ,חוברת,צוות כתיבה,"רשת אהלי יוסף יצחק חב""ד ",144254
א,"תנ""ך",2689,בראשית דרכנו  כיתה א',חוברת,ד. ליבקיבקר,חיש,1446
א,"תנ""ך",297,לגדול עם התורה בראשית לכיתה א חוברת 1,חוברת,ע. שושני,יבנה | בונוס,119676
א,"תנ""ך",297,לגדול עם התורה בראשית לכיתה א חוברת 2   ,חוברת,ע. שושני,יבנה | בונוס,119678
א,"תנ""ך",2619,פסוק בפסוק  בראשית,חוברת,צוות מחשבת בצלאל,מחשבת בצלאל,11633
א,"תנ""ך",2619,פסוק בפסוק  לך לך,חוברת,צוות מחשבת בצלאל,מחשבת בצלאל,11635
א,"תנ""ך",2619,פסוק בפסוק  נח,חוברת,צוות מחשבת בצלאל,מחשבת בצלאל,11634
א,"תנ""ך",2922,צהר  לבראשית  בראשית,חוברת לימוד,ש. אלבוים,יבנה | בונוס,119118
א,"תנ""ך",2922,צהר  לבראשית  לך לך,חוברת לימוד,ש. אלבוים,יבנה | בונוס,11912
א,"תנ""ך",2922,צהר  לבראשית  נח,חוברת לימוד,ש. אלבוים,יבנה | בונוס,119119
א,"תנ""ך",2664,"תורה מבראשית, חלק א",חוברת,א. שושן,דני ספרים,441476
א,תרבות יהודיתישראלית,9196,"יחד בתפילה (לבתי הספר של תל""י בלבד)",ספר לימוד,"צוות קרן תל""י","קרן תל""י",113173338
א,תרבות יהודיתישראלית,2535,"מקבלים את התורה לכיתות א'ב' (לבתי הספר של תל""י בלבד)",ספר לימוד,"צוות קרן תל""י","קרן תל""י",113128
א,"תושב""ע",2659,הולכים עם הלכה לכיתה א',חוברת,א. פאלק,בית המלמדים,1421
א,אנגלית,2962,I Like English Unit 1,ספר עם  כתיבה,"Y. Bejarano, A. Harel and M. Bachrach",English Adventure,751174
א,אנגלית,2962,I Like English Unit 2,ספר עם  כתיבה,"Y. Bejarano, A. Harel and M. Bachrach",English Adventure,751175
א,אנגלית,4147,"Wow – Foundation Level, Early Learners, Student's Book",ספר לימוד," M.Yochanna, D.Silberstein",מפעלים אוניברסיטאים UPP,74664
א,עברית חינוך לשוני,9119,"בין השורות, חלק ראשון",ספר לימוד,ע. באך,בין השורות,11981
א,עברית חינוך לשוני,9197,ילדותנו א'  מקראה,ספר לימוד,ח.רוזנפלד,ישורון,35217
א,עברית חינוך לשוני,9292,"נפלא אות  1, בנות",ספר לימוד,ח.רוזנפלד,חנה רוזנפלד,1148739437
א,עברית חינוך לשוני,9293,"נפלא אות  1, בנים",ספר לימוד,ח.רוזנפלד,חנה רוזנפלד,1148739438
א,עברית חינוך לשוני,9292,"נפלא אות  2, בנות",ספר לימוד,ח.רוזנפלד,חנה רוזנפלד,1148739439
א,עברית חינוך לשוני,9293,"נפלא אות  2, בנים",ספר לימוד,ח.רוזנפלד,חנה רוזנפלד,114873944
א,עברית חינוך לשוני,9292,"נפלא אות  3, בנות",ספר לימוד,ח.רוזנפלד,חנה רוזנפלד,1148739441
א,עברית חינוך לשוני,9293,"נפלא אות  3, בנים",ספר לימוד,ח.רוזנפלד,חנה רוזנפלד,1148739442
א,עברית חינוך לשוני,9292,"נפלא אות  4, בנות",ספר לימוד,ח.רוזנפלד,חנה רוזנפלד,1148739443
א,עברית חינוך לשוני,9293,"נפלא אות  4, בנים",ספר לימוד,ח.רוזנפלד,חנה רוזנפלד,1148739444
א,עברית חינוך לשוני,9292,"נפלא אות  5, בנות",ספר לימוד,ח.רוזנפלד,חנה רוזנפלד,1148739445
א,עברית חינוך לשוני,9293,"נפלא אות  5, בנים",ספר לימוד,ח.רוזנפלד,חנה רוזנפלד,1148739446
א,עברית חינוך לשוני,2581,קרא כצבי 1,ספר לימוד,מ. ברלין,את בש,8771
א,עברית חינוך לשוני,2543,נקשיב ונקרא בקלות  כותבים בקלות,ספר לימוד,ת. מטלון,ספר לכל,277162
א,עברית חינוך לשוני,2543,"נקשיב ונקרא בקלות, חלק א",ספר לימוד,ת. מטלון,ספר לכל,277155
א,עברית חינוך לשוני,2543,"נקשיב ונקרא בקלות, חלק ב",ספר לימוד,ת. מטלון,ספר לכל,2771551
א,עברית חינוך לשוני,2543,"נקשיב ונקרא בקלות, חלק ג",ספר לימוד,ת. מטלון,ספר לכל,2771552
א,עברית חינוך לשוני,2543,"נקשיב ונקרא בקלות, חלק ד",ספר לימוד,ת. מטלון,ספר לכל,2771553
א,עברית חינוך לשוני,2554,"קוראים ב א', חוברת 1  התחלות",ספר לימוד,"ו. גייגר פרלמן, ח. פורת",יסוד,5188233
א,עברית חינוך לשוני,2554,"קוראים ב א', חוברת 2  אני וחברים",ספר לימוד,"ו. גייגר פרלמן, ח. פורת",יסוד,5188234
א,עברית חינוך לשוני,2554,"קוראים ב א', חוברת 3  אני ומשפחתי",ספר לימוד,"ו. גייגר פרלמן, ח. פורת",יסוד,5188235
א,עברית חינוך לשוני,2554,"קוראים ב א', חוברת 4  כיד הדמיון",ספר לימוד,"ו. גייגר פרלמן, ח. פורת",יסוד,5188236
א,עברית חינוך לשוני,2554,"קוראים ב א', חוברת 5  מה שילדים אוהבים",ספר לימוד,"ו. גייגר פרלמן, ח. פורת",יסוד,5188237
א,עברית חינוך לשוני,2554,"קוראים ב א', חוברת 6  כל שנה מחדש",ספר לימוד,"ו. גייגר פרלמן, ח. פורת",יסוד,5188238
א,עברית חינוך לשוני,2554,"קוראים ב א', חוברת 7  כותבים בכתב",ספר לימוד,"ו. גייגר פרלמן, ח. פורת",יסוד,5188239
א,עברית חינוך לשוני,2554,"קוראים ב א', חוברת 8  דפי תרגול",ספר לימוד,"ו. גייגר פרלמן, ח. פורת",יסוד,5188275
א,עברית חינוך לשוני,2614,"קוראים ולומדים בהנאה המחודש, חוברת 1",ספר לימוד,א. לוגסיזבורוב,יבנה | בונוס,199623
א,עברית חינוך לשוני,2614,"קוראים ולומדים בהנאה המחודש, חוברת 2",ספר לימוד,א. לוגסיזבורוב,יבנה | בונוס,199624
א,עברית חינוך לשוני,2614,"קוראים ולומדים בהנאה המחודש, חוברת 3",ספר לימוד,א. לוגסיזבורוב,יבנה | בונוס,199625
א,עברית חינוך לשוני,2614,"קוראים ולומדים בהנאה המחודש, חוברת 4",ספר לימוד,א. לוגסיזבורוב,יבנה | בונוס,199626
א,עברית חינוך לשוני,2614,"קוראים ולומדים בהנאה המחודש, חוברת 5",ספר לימוד,א. לוגסיזבורוב,יבנה | בונוס,199627
א,עברית חינוך לשוני,2614,"קוראים ולומדים בהנאה המחודש, חוברת חגים",ספר לימוד,א. לוגסיזבורוב,יבנה | בונוס,199629
א,עברית חינוך לשוני,2614,"קוראים ולומדים בהנאה המחודש, מדפוס לכתב בהנאה",ספר לימוד,א. לוגסיזבורוב,יבנה | בונוס,199628
א,עברית חינוך לשוני,2852,"קסם וחברים, אותיות הכתב",ספר לימוד,צוות מטח,מטח,782125
א,עברית חינוך לשוני,2852,"קסם וחברים, הכרת האותיות",ספר לימוד,צוות מטח,מטח,78212
א,עברית חינוך לשוני,2852,"קסם וחברים, ראשית קריאה וכתיבה 1",ספר לימוד,צוות מטח,מטח,782121
א,עברית חינוך לשוני,2852,"קסם וחברים, ראשית קריאה וכתיבה 2",ספר לימוד,צוות מטח,מטח,782122
א,עברית חינוך לשוני,2852,"קסם וחברים, ראשית קריאה וכתיבה 3",ספר לימוד,צוות מטח,מטח,782123
א,עברית חינוך לשוני,2852,"קסם וחברים, שירים וסיפורים לכל השנה",ספר לימוד,צוות מטח,מטח,782124
א,עברית חינוך לשוני,2643,קריאה ראשונה  אותיות הדפוס,ספר לימוד,"ח. לוינזון, ר. אורי פירסטטר",יבנה | בונוס,119881
א,עברית חינוך לשוני,2643,קריאה ראשונה  אותיות הכתב,ספר לימוד,"ח. לוינזון, ר. אורי פירסטטר",יבנה | בונוס,11988
א,עברית חינוך לשוני,2643,קריאה ראשונה  חגים,ספר לימוד,"ח. לוינזון, ר. אורי פירסטטר",יבנה | בונוס,119882
א,עברית חינוך לשוני,2643,קריאה ראשונה  חולם,ספר לימוד,"ח. לוינזון, ר. אורי פירסטטר",יבנה | בונוס,119877
א,עברית חינוך לשוני,2643,קריאה ראשונה  חיריק,ספר לימוד,"ח. לוינזון, ר. אורי פירסטטר",יבנה | בונוס,119876
א,עברית חינוך לשוני,2643,קריאה ראשונה  צירה סגול,ספר לימוד,"ח. לוינזון, ר. אורי פירסטטר",יבנה | בונוס,119878
א,עברית חינוך לשוני,2643,קריאה ראשונה  קמץ פתח,ספר לימוד,"ח. לוינזון, ר. אורי פירסטטר",יבנה | בונוס,119874
א,עברית חינוך לשוני,2643,קריאה ראשונה  שווא,ספר לימוד,"ח. לוינזון, ר. אורי פירסטטר",יבנה | בונוס,119875
א,עברית חינוך לשוני,2643,קריאה ראשונה  שורוק קובוץ,ספר לימוד,"ח. לוינזון, ר. אורי פירסטטר",יבנה | בונוס,119879
א,עברית חינוך לשוני,2826,אותיות מאירות  הכתב,ספר לימוד,"צוות חב""ד","רשת אהלי יוסף יצחק חב""ד ",144218
א,עברית חינוך לשוני,2826,אותיות מאירות  לקראת כתיבה,ספר לימוד,"צוות חב""ד","רשת אהלי יוסף יצחק חב""ד ",144211
א,עברית חינוך לשוני,2826,אותיות מאירות 1  קמץ פתח,ספר לימוד,"צוות חב""ד","רשת אהלי יוסף יצחק חב""ד ",144212
א,עברית חינוך לשוני,2826,אותיות מאירות 2  צירה וסגול,ספר לימוד,"צוות חב""ד","רשת אהלי יוסף יצחק חב""ד ",144213
א,עברית חינוך לשוני,2826,אותיות מאירות 3  חולם,ספר לימוד,"צוות חב""ד","רשת אהלי יוסף יצחק חב""ד ",144214
א,עברית חינוך לשוני,2826,אותיות מאירות 4  חיריק,ספר לימוד,"צוות חב""ד","רשת אהלי יוסף יצחק חב""ד ",144215
א,עברית חינוך לשוני,2826,אותיות מאירות 5  שורוק קובוץ,ספר לימוד,"צוות חב""ד","רשת אהלי יוסף יצחק חב""ד ",144216
א,עברית חינוך לשוני,2826,אותיות מאירות 6  מעגל השנה,ספר לימוד,"צוות חב""ד","רשת אהלי יוסף יצחק חב""ד ",144217
א,עברית חינוך לשוני,263,חמד של קריאה  חוברת שער הסידור,ספר לימוד,"ח. רון, ט. ברית",מחשבת בצלאל ,1161
א,עברית חינוך לשוני,263,חמד של קריאה  שער האותיות,ספר לימוד,"ח. רון, ט. ברית",מחשבת בצלאל ,11612
א,עברית חינוך לשוני,263,חמד של קריאה  שער החגים,ספר לימוד,"ח. רון, ט. ברית",מחשבת בצלאל ,1169
א,עברית חינוך לשוני,263,חמד של קריאה  שער ימות הגשמים והברכות,ספר לימוד,"ח. רון, ט. ברית",מחשבת בצלאל ,1168
א,עברית חינוך לשוני,263,חמד של קריאה  שער שער הבוקר,ספר לימוד,"ח. רון, ט. ברית",מחשבת בצלאל ,11613
א,עברית חינוך לשוני,263,חמד של קריאה  שער שער השבת,ספר לימוד,"ח. רון, ט. ברית",מחשבת בצלאל ,11614
א,עברית חינוך לשוני,263,חמד של קריאה  שער תיקון קוראים,ספר לימוד,"ח. רון, ט. ברית",מחשבת בצלאל ,11611
א,עברית חינוך לשוני,264,"לקרוא בנועם, חוברת 1  קמץ פתח",ספר לימוד,צוות מרחביה,יבנה | בונוס,119814
א,עברית חינוך לשוני,264,"לקרוא בנועם, חוברת 2  חולם",ספר לימוד,צוות מרחביה,יבנה | בונוס,119815
א,עברית חינוך לשוני,264,"לקרוא בנועם, חוברת 3  חיריק",ספר לימוד,צוות מרחביה,יבנה | בונוס,119816
א,עברית חינוך לשוני,264,"לקרוא בנועם, חוברת 4  צירי סגול",ספר לימוד,צוות מרחביה,יבנה | בונוס,119817
א,עברית חינוך לשוני,264,"לקרוא בנועם, חוברת 5  שורוק קובוץ",ספר לימוד,צוות מרחביה,יבנה | בונוס,119818
א,עברית חינוך לשוני,264,"לקרוא בנועם, חוברת ללימוד הכתב",ספר לימוד,צוות מרחביה,יבנה | בונוס,119819
