grade,subject,approvalNumber,title,type,author,publisher,barcode
ג,מתמטיקה,2494,"שבילים ג', ערכת אביזרים – פרקי גאומטריה",ערכת אביזרים,צוות מטח,מטח,78271215
ג,מתמטיקה,2494,"שבילים פלוס ג', גאומטריה",ספר לימוד,צוות מטח,מטח,78271272
ג,מתמטיקה,2567,"שבילים פלוס ג', ערכת אביזרים",ערכת אביזרים,צוות מטח,מטח,7826225
ג,מתמטיקה,2697,"שבילים פלוס, חלק 7",ספר לימוד,צוות מטח,מטח,7826221
ג,מתמטיקה,2697,"שבילים פלוס, חלק 8",ספר לימוד,צוות מטח,מטח,7826222
ג,מתמטיקה,2697,"שבילים פלוס, חלק 9",ספר לימוד,צוות מטח,מטח,7826223
ג,מחשבת ישראל,2763,מאירים את היום  היום יום,ספר לימוד,צוות כתיבה,"רשת אהלי יוסף יצחק חב""ד ",14423
ג,"תושב""ע",268,משפחה כהלכה כשרות המאכלים,ספר לימוד,צוות כותבים,"רשת אהלי יוסף יצחק חב""ד ",87628
ג,"תושב""ע",2776,משפחה כהלכה  אני והחברה,ספר לימוד,צוות כותבים,"רשת אהלי יוסף יצחק חב""ד ",87626
ג,"תושב""ע",2687,משפחה כהלכה  מאירים בחנוכה,ספר לימוד,צוות כותבים,"רשת אהלי יוסף יצחק חב""ד ",87625
ג,"תושב""ע",2716,משפחה כהלכה  מתכוננים לשנה החדשה,ספר לימוד,צוות כותבים,"רשת אהלי יוסף יצחק חב""ד ",87624
ג,"תושב""ע",2715,"משפחה כהלכה  ספירת העומר, שבועות ובין המצרים",ספר לימוד,צוות כותבים,"רשת אהלי יוסף יצחק חב""ד ",87621
ג,"תושב""ע",2714,משפחה כהלכה  פורים פסח,ספר לימוד,צוות כותבים,"רשת אהלי יוסף יצחק חב""ד ",87629
ג,"תושב""ע",2713,משפחה כהלכה  תפילה וברכות,ספר לימוד,צוות כותבים,"רשת אהלי יוסף יצחק חב""ד ",87627
ג,"תושב""ע",256,הלכה לתלמיד,ספר לימוד,ע. מימון,עמוס מימון,11535
ג,"תושב""ע",282,המשנה היומית,ספר לימוד,י. שפיץ,מרכז שטיינזלץ,28511
ג,"תושב""ע",2722,משניות בהירות  לקט משניות כיתה ג,ספר לימוד,צוות כותבים,סולמות,116112747
ג,"תושב""ע",2559,משניות משמחות,ספר לימוד,ח. מלכה,מכון אורות ישראל,11637
ג,"תושב""ע",2766,נרות להאיר ,ספר לימוד,צוות כתיבה,"רשת אהלי יוסף יצחק חב""ד ",144278
ג,"תנ""ך",2616,ישקו העדרים יהושע,חוברת,י. יוקל,ישקו העדרים,1381
ג,"תנ""ך",2735,לגדול עם הנביא  יהושע,חוברת,ע. שושני,יבנה | בונוס,119872
ג,"תנ""ך",2655,לגדול עם התורה שמות ,חוברת,ע. שושני,יבנה | בונוס,119828
ג,"תנ""ך",2977,פסוק בפסוק המשכן וכליו,חוברת,מ. לוין,מחשבת בצלאל,11611
ג,"תנ""ך",2725,צהר ליהושע,חוברת,ש. אלבוים,יבנה | בונוס,39335
ג,"תנ""ך",2663,"תורת חיים שמות, חלק א",חוברת,א. שושן,דני ספרים,441478
ג,"תנ""ך",2562,"תורת חיים שמות, חלק ב",חוברת,א. שושן,דני ספרים,441479
ג,"תנ""ך ",278,"צהר לשמות, חלק א'",חוברת,ש. אלבוים,יבנה | בונוס,3939
ג,"תנ""ך ",278,"צהר לשמות, חלק ב'",חוברת,ש. אלבוים,יבנה | בונוס,39391
ג,תרבות יהודיתישראלית,253,"מסע בלוח השנה  חגי ישראל ומועדיו (לבתי הספר של תל""י בלבד)",ספר לימוד,"צוות קרן תל""י","קרן תל""י",1131245
ג,תרבות יהודיתישראלית,2756,מפתחות שבין אדם לחברו,ספר לימוד,"צוות חל""ד","יבנה | בונוס וחל""ד מפעלים חינוכיים ",117293
ג,תרבות יהודיתישראלית,931,"סידור שירת הלב (לבתי הספר של תל""י בלבד)",ספר לימוד,"צוות קרן תל""י","קרן תל""י",1131733313
ג,תרבות יהודיתישראלית,9324,"פרשת השבוע שלי (או מידות האדם) (לבתי הספר של תל""י בלבד)",ספר לימוד,ג. רן (חנקין),"קרן תל""י",113173332
ג,תרבות יהודיתישראלית,2754,שלי ושלכם שערים לתרבות יהודית ישראלית,ספר לימוד,"צוות קרן תל""י","קרן תל""י",1131253
